Date Time,T (degC)
2009-01-31,3.9012500000000006
2009-02-28,4.358247422680412
2009-03-31,5.665444444444445
2009-04-30,10.372164948453607
2009-05-31,12.690186915887853
2009-06-30,14.075777777777772
2009-07-31,15.799478260869561
2009-08-31,15.039722222222231
2009-09-30,11.854646464646471
2009-10-31,5.805229357798166
2009-11-30,9.494594594594593
2009-12-31,1.0280392156862757
2010-01-31,2.070916666666667
2010-02-28,1.2594444444444446
2010-03-31,6.922424242424242
2010-04-30,10.219574468085108
2010-05-31,9.286380952380952
2010-06-30,12.265
2010-07-31,14.202058823529415
2010-08-31,12.938648648648646
2010-09-30,9.011354166666669
2010-10-31,7.596944444444443
2010-11-30,4.4507563025210075
2010-12-31,-1.9755882352941172
2011-01-31,4.337227722772276
2011-02-28,3.1764130434782625
2011-03-31,6.8872549019607865
2011-04-30,10.809318181818183
2011-05-31,14.77047169811321
2011-06-30,14.093963963963963
2011-07-31,12.468061224489798
2011-08-31,14.887499999999998
2011-09-30,11.81372549019608
2011-10-31,7.68142857142857
2011-11-30,5.846210526315789
2011-12-31,5.598245614035093
2012-01-31,2.7977884615384614
2012-02-29,4.628653846153846
2012-03-31,7.537555555555553
2012-04-30,10.26181818181818
2012-05-31,13.004035087719293
2012-06-30,13.14024590163934
2012-07-31,14.636730769230777
2012-08-31,17.052950819672134
2012-09-30,11.569449541284408
2012-10-31,8.627256637168143
2012-11-30,4.7768749999999995
2012-12-31,5.1998019801980195
2013-01-31,2.2982352941176476
2013-02-28,4.155145631067961
2013-03-31,1.741142857142856
2013-04-30,11.447234042553191
2013-05-31,11.137383177570092
2013-06-30,14.621313131313133
2013-07-31,17.860803571428576
2013-08-31,15.134521739130436
2013-09-30,10.390459770114942
2013-10-31,10.092197802197804
2013-11-30,4.443095238095238
2013-12-31,5.015267857142859
2014-01-31,4.932815533980583
2014-02-28,6.827045454545461
2014-03-31,9.910727272727271
2014-04-30,9.974757281553396
2014-05-31,12.022053571428573
2014-06-30,13.487977528089885
2014-07-31,18.729578947368424
2014-08-31,13.705648148148146
2014-09-30,13.161346153846152
2014-10-31,11.449999999999996
2014-11-30,6.672962962962962
2014-12-31,6.2219298245614025
2015-01-31,5.574042553191488
2015-02-28,6.839532710280371
2015-03-31,7.4275000000000055
2015-04-30,11.210631578947371
2015-05-31,13.112095238095243
2015-06-30,12.003200000000001
2015-07-31,16.471355932203387
2015-08-31,16.906132075471692
2015-09-30,12.3193137254902
2015-10-31,8.9635
2015-11-30,7.6406603773584925
2015-12-31,10.17490384615385
2016-01-31,5.215945945945947
2016-02-29,5.955887850467291
2016-03-31,6.779714285714287
2016-04-30,9.026126126126128
2016-05-31,12.42161016949153
2016-06-30,15.099655172413792
2016-07-31,16.208793103448276
2016-08-31,16.92
2016-09-30,13.22542056074766
2016-10-31,10.52630952380952
2016-11-30,5.832736842105266
2016-12-31,4.252685185185184
